Specification,Network file,Epsilon,Delta,Time taken,Upper bound,Lower bound,SAT
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,1,54.295605182647705,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,2,39.92143797874451,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,3,39.27969288825989,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,4,38.880297899246216,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,5,40.60819935798645,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,6,39.39369583129883,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,7,39.76919078826904,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,8,38.24541902542114,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,9,39.364372968673706,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,10,41.20424485206604,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,11,38.62967491149902,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,12,39.77618885040283,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,13,38.743897914886475,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,14,38.06614899635315,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,15,39.152040004730225,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,16,38.16878008842468,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,17,42.22753405570984,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,18,43.368430852890015,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,19,49.40368723869324,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.05,20,55.154306173324585,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,1,44.610487937927246,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,2,43.67544198036194,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,3,43.4478178024292,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,4,42.06987118721008,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,5,43.37162399291992,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,6,43.525672912597656,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,7,46.37367582321167,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,8,44.2185320854187,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,9,44.41272592544556,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,10,41.4592649936676,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,11,45.23431205749512,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,12,44.45492100715637,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,13,42.99721002578735,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,14,43.01571583747864,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,15,44.656519174575806,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,16,44.83098292350769,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,17,44.05579423904419,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,18,41.983234167099,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,19,42.91423511505127,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.060000000000000005,20,43.0060019493103,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,1,42.273627042770386,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,2,43.86120915412903,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,3,40.30563187599182,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,4,39.65779495239258,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,5,40.44625401496887,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,6,39.89908504486084,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,7,44.264864921569824,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,8,41.24205708503723,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,9,37.888962745666504,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,10,40.660693883895874,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,11,40.231160163879395,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,12,42.3152220249176,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,13,41.09381413459778,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,14,41.64230012893677,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,15,41.916796922683716,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,16,39.98405122756958,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,17,41.908480167388916,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,18,41.63409423828125,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,19,39.52835202217102,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.07,20,43.0927791595459,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,1,41.51779913902283,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,2,40.609209060668945,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,3,41.51663303375244,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,4,42.12560319900513,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,5,43.602251052856445,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,6,43.177509784698486,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,7,39.138020038604736,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,8,42.50964593887329,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,9,36.5492639541626,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,10,42.278416872024536,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,11,40.685652017593384,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,12,38.82479000091553,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,13,39.99141573905945,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,14,38.39996123313904,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,15,43.05182981491089,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,16,40.06170701980591,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,17,41.10419511795044,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,18,41.248729944229126,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,19,37.99155402183533,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.08000000000000002,20,38.36078476905823,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,1,40.54543709754944,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,2,46.43760824203491,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,3,41.37489604949951,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,4,39.240126848220825,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,5,43.55218267440796,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,6,39.18131899833679,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,7,41.68131184577942,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,8,44.45427107810974,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,9,39.79228210449219,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,10,41.7615270614624,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,11,43.16049599647522,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,12,42.97102189064026,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,13,44.1922881603241,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,14,41.461503982543945,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,15,40.7610821723938,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,16,40.19007897377014,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,17,39.51681303977966,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,18,42.750808000564575,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,19,41.23927021026611,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.09000000000000001,20,43.91885209083557,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,1,39.06590723991394,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,2,39.33978509902954,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,3,41.48835468292236,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,4,40.81907320022583,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,5,43.12948989868164,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,6,42.01630687713623,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,7,40.81570506095886,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,8,41.99166202545166,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,9,42.64383888244629,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,10,40.73548126220703,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,11,41.89244318008423,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,12,39.68995928764343,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,13,39.42411184310913,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,14,38.99663805961609,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,15,41.315733671188354,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,16,38.74117183685303,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,17,39.842694997787476,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,18,42.7460720539093,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,19,41.466309785842896,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.1,20,40.1949942111969,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,1,41.223329067230225,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,2,41.4022798538208,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,3,41.66842484474182,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,4,35.767492055892944,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,5,30.790297031402588,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,6,29.35977578163147,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,7,30.37063694000244,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,8,30.885756015777588,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,9,28.925806760787964,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,10,30.311564683914185,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,11,29.62261128425598,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,12,28.72063398361206,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,13,43.7159481048584,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,14,43.06210207939148,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,15,41.26888108253479,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,16,40.076143741607666,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,17,38.702831983566284,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,18,39.00099992752075,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,19,40.57004475593567,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.11000000000000001,20,40.99273920059204,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,1,39.25478196144104,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,2,38.04687523841858,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,3,38.742104053497314,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,4,40.16141605377197,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,5,38.76476001739502,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,6,38.87814497947693,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,7,38.863966941833496,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,8,38.804620027542114,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,9,41.659098863601685,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,10,40.3287410736084,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,11,38.560137033462524,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,12,37.32451510429382,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,13,39.12870407104492,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,14,39.581270933151245,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,15,40.70304799079895,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,16,39.100303173065186,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,17,38.906147956848145,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,18,38.93846678733826,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,19,40.09272861480713,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.12000000000000001,20,40.35720109939575,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,1,40.372554063797,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,2,40.28520178794861,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,3,40.282286167144775,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,4,27.93570828437805,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,5,29.763180017471313,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,6,30.110932111740112,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,7,29.206320762634277,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,8,30.339970111846924,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,9,28.838945150375366,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,10,32.07981610298157,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,11,31.664855003356934,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,12,29.861711740493774,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,13,29.7039532661438,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,14,29.64398694038391,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,15,30.03517723083496,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,16,29.709760189056396,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,17,29.982324838638306,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,18,29.92472767829895,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,19,30.237262725830078,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.13,20,30.334890127182007,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,1,29.061141967773438,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,2,29.88183903694153,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,3,28.498642921447754,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,4,30.573547840118408,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,5,29.9964017868042,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,6,28.229294776916504,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,7,31.13100504875183,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,8,30.144981861114502,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,9,31.594061136245728,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,10,31.38664698600769,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,11,29.460641145706177,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,12,28.43544602394104,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,13,28.893513917922974,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,14,30.61270308494568,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,15,29.353477239608765,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,16,36.80710482597351,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,17,37.995518922805786,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,18,37.5557119846344,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,19,37.93800210952759,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp4.onnx,0.14,20,38.71023774147034,,,True
